,date,open,high,low,close,adjClose,volume
303,2021-06-15,259.769989,259.9899902,257.6799927,258.3599854,256.2674255,18038900.0
304,2021-06-14,257.8999939,259.9500122,256.7999878,259.8900146,257.7850342,19150500.0
305,2021-06-11,257.9899902,258.4899902,256.6099854,257.8900146,255.8012848,18999700.0
306,2021-06-10,254.2899933,257.4599915,253.6699982,257.2399902,255.1565094,24563600.0
307,2021-06-09,253.8099976,255.5299988,253.2100067,253.5899963,251.5360718,17937600.0
308,2021-06-08,255.1600037,256.0100098,252.5099945,252.5700073,250.5243378,22455000.0
309,2021-06-07,249.9799957,254.0899963,249.8099976,253.8099976,251.7542877,23079200.0
310,2021-06-04,247.7599945,251.6499939,247.5099945,250.7899933,248.758728,25281100.0
311,2021-06-03,245.2200012,246.3399963,243.0,245.7100067,243.7198944,25307700.0
312,2021-06-02,248.1300049,249.2700043,245.8399963,247.3000031,245.2970123,19406700.0
313,2021-06-01,251.2299957,251.2899933,246.9600067,247.3999939,245.3962097,23213300.0
314,2021-05-28,251.0,252.0800018,249.5599976,249.6799927,247.6577301,18270200.0
315,2021-05-27,251.1699982,251.4799957,249.25,249.3099976,247.2907257,24426200.0
316,2021-05-26,251.4299927,252.9400024,250.75,251.4900055,249.4530945,17771600.0
